metric,value
total_rows,40
reopened_by_text_or_number_change,13
reopened_for_strict_reaudit,11
carry_forward_only_after_spot_check,16
rows_marked_finally_closed_in_r834,0
current_qmd_sha256,e8b374d8387e7420205ba074ed6ab928e6137ebc8f5f2894b7d6a58e67994a4d
current_pdf_sha256,fda5ab3de8af7f6a21aed3e7adb0fb7137670d7e9e2ea3546f071354d238b150
current_epub_sha256,fe5bfa51bd615019514cc300e5e1854897ba31af8ce476ff490426f8184074c5
current_html_sha256,5a90be74dd2077475065df1c4d6451149ef58581712fcc11748018b1a67dd043
notebook_sha256,9f18c047ee7381da4a0b735f35ae4887cc105079f060955bb10124a65538dc79
notebook_max_code_cell_lines,182
notebook_granular_substep_markers,33
notebook_code_cells,44
