source,estimation_id,feature_set,features,horizon,response_type,dep_col,scale_col,nobs,country_n,year_min,year_max,rank,regressor_count,status,matrix_role,matrix_dimension,max_abs_asymmetry,tolerance,missing_cells,passed
lp_stepwise,linear__h0__output,linear_benchmark,,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,numerator_covariance,6,9.540979117872439e-17,1e-10,0,True
lp_stepwise,linear__h0__output,linear_benchmark,,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,denominator_covariance,6,2.3600455492872943e-19,1e-10,0,True
lp_stepwise,linear__h0__investment_path,linear_benchmark,,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,numerator_covariance,6,2.3600455492872943e-19,1e-10,0,True
lp_stepwise,linear__h0__investment_path,linear_benchmark,,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,denominator_covariance,6,2.3600455492872943e-19,1e-10,0,True
lp_stepwise,linear__h1__output,linear_benchmark,,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,numerator_covariance,6,2.7321894746634712e-17,1e-10,0,True
lp_stepwise,linear__h1__output,linear_benchmark,,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,denominator_covariance,6,5.463362509790237e-20,1e-10,0,True
lp_stepwise,linear__h1__investment_path,linear_benchmark,,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,numerator_covariance,6,1.5449880957918438e-18,1e-10,0,True
lp_stepwise,linear__h1__investment_path,linear_benchmark,,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,denominator_covariance,6,5.463362509790237e-20,1e-10,0,True
lp_stepwise,linear__h2__output,linear_benchmark,,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,numerator_covariance,6,1.0625181290357943e-16,1e-10,0,True
lp_stepwise,linear__h2__output,linear_benchmark,,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,denominator_covariance,6,5.47183283926278e-19,1e-10,0,True
lp_stepwise,linear__h2__investment_path,linear_benchmark,,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,numerator_covariance,6,1.2468324983583301e-17,1e-10,0,True
lp_stepwise,linear__h2__investment_path,linear_benchmark,,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,denominator_covariance,6,5.47183283926278e-19,1e-10,0,True
lp_stepwise,linear__h3__output,linear_benchmark,,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,numerator_covariance,6,2.1467203015212988e-17,1e-10,0,True
lp_stepwise,linear__h3__output,linear_benchmark,,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,denominator_covariance,6,7.115076756936123e-20,1e-10,0,True
lp_stepwise,linear__h3__investment_path,linear_benchmark,,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,numerator_covariance,6,6.2341624917916505e-19,1e-10,0,True
lp_stepwise,linear__h3__investment_path,linear_benchmark,,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,denominator_covariance,6,7.115076756936123e-20,1e-10,0,True
lp_stepwise,linear__h4__output,linear_benchmark,,4,output_over_initial_investment,y_dyn_h4,gi_dyn0,481,27,2004,2021,6,6,OK,numerator_covariance,6,1.6046192152785466e-17,1e-10,0,True
lp_stepwise,linear__h4__output,linear_benchmark,,4,output_over_initial_investment,y_dyn_h4,gi_dyn0,481,27,2004,2021,6,6,OK,denominator_covariance,6,1.5839516113655416e-19,1e-10,0,True
lp_stepwise,linear__h4__investment_path,linear_benchmark,,4,investment_path_over_initial_investment,gi_dyn_h4,gi_dyn0,481,27,2004,2021,6,6,OK,numerator_covariance,6,7.318364664277155e-19,1e-10,0,True
lp_stepwise,linear__h4__investment_path,linear_benchmark,,4,investment_path_over_initial_investment,gi_dyn_h4,gi_dyn0,481,27,2004,2021,6,6,OK,denominator_covariance,6,1.5839516113655416e-19,1e-10,0,True
lp_stepwise,linear__h5__output,linear_benchmark,,5,output_over_initial_investment,y_dyn_h5,gi_dyn0,456,27,2004,2020,6,6,OK,numerator_covariance,6,5.377642775528102e-17,1e-10,0,True
lp_stepwise,linear__h5__output,linear_benchmark,,5,output_over_initial_investment,y_dyn_h5,gi_dyn0,456,27,2004,2020,6,6,OK,denominator_covariance,6,6.776263578034403e-20,1e-10,0,True
lp_stepwise,linear__h5__investment_path,linear_benchmark,,5,investment_path_over_initial_investment,gi_dyn_h5,gi_dyn0,456,27,2004,2020,6,6,OK,numerator_covariance,6,1.0842021724855044e-18,1e-10,0,True
lp_stepwise,linear__h5__investment_path,linear_benchmark,,5,investment_path_over_initial_investment,gi_dyn_h5,gi_dyn0,456,27,2004,2020,6,6,OK,denominator_covariance,6,6.776263578034403e-20,1e-10,0,True
lp_stepwise,linear__h6__output,linear_benchmark,,6,output_over_initial_investment,y_dyn_h6,gi_dyn0,431,27,2004,2019,6,6,OK,numerator_covariance,6,3.2699537522162814e-16,1e-10,0,True
lp_stepwise,linear__h6__output,linear_benchmark,,6,output_over_initial_investment,y_dyn_h6,gi_dyn0,431,27,2004,2019,6,6,OK,denominator_covariance,6,1.3078188705606397e-18,1e-10,0,True
lp_stepwise,linear__h6__investment_path,linear_benchmark,,6,investment_path_over_initial_investment,gi_dyn_h6,gi_dyn0,431,27,2004,2019,6,6,OK,numerator_covariance,6,5.922454367202068e-18,1e-10,0,True
lp_stepwise,linear__h6__investment_path,linear_benchmark,,6,investment_path_over_initial_investment,gi_dyn_h6,gi_dyn0,431,27,2004,2019,6,6,OK,denominator_covariance,6,1.3078188705606397e-18,1e-10,0,True
lp_stepwise,linear__h7__output,linear_benchmark,,7,output_over_initial_investment,y_dyn_h7,gi_dyn0,405,27,2004,2018,6,6,OK,numerator_covariance,6,1.1492543028346347e-17,1e-10,0,True
lp_stepwise,linear__h7__output,linear_benchmark,,7,output_over_initial_investment,y_dyn_h7,gi_dyn0,405,27,2004,2018,6,6,OK,denominator_covariance,6,1.2536087619363645e-19,1e-10,0,True
lp_stepwise,linear__h7__investment_path,linear_benchmark,,7,investment_path_over_initial_investment,gi_dyn_h7,gi_dyn0,405,27,2004,2018,6,6,OK,numerator_covariance,6,1.395910297075087e-18,1e-10,0,True
lp_stepwise,linear__h7__investment_path,linear_benchmark,,7,investment_path_over_initial_investment,gi_dyn_h7,gi_dyn0,405,27,2004,2018,6,6,OK,denominator_covariance,6,1.2536087619363645e-19,1e-10,0,True
lp_stepwise,linear__h8__output,linear_benchmark,,8,output_over_initial_investment,y_dyn_h8,gi_dyn0,378,27,2004,2017,6,6,OK,numerator_covariance,6,4.933119884809045e-18,1e-10,0,True
lp_stepwise,linear__h8__output,linear_benchmark,,8,output_over_initial_investment,y_dyn_h8,gi_dyn0,378,27,2004,2017,6,6,OK,denominator_covariance,6,8.639736061993863e-20,1e-10,0,True
