feature_set,features,horizon,response_type,dep_col,scale_col,window_start,window_end,nobs,country_n,year_min,year_max,rank,regressor_count,status,profile_country,profile_year,profile_z_values,beta_dep,se_beta_dep,p_beta_dep,beta_scale,se_beta_scale,p_beta_scale,denom_t,ratio,se_ratio,p_ratio,ci95_low,ci95_high
debt,debt,0,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h0,gi_dyn0,2004,2025,583,27,2004,2025,8,8,OK,POL,2025,"{""debt"": -0.08146573873820974}",-0.053303657748953966,0.018624873838843894,0.0042102905422019,0.0416962412728988,0.000776798980266153,0.0,53.67700310138475,-1.2783804036456303,0.4490113229135039,0.004411941869009617,-2.158426425206782,-0.3983343820844787
debt,debt,1,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h1,gi_dyn0,2004,2024,557,27,2004,2024,8,8,OK,POL,2025,"{""debt"": -0.08146573873820974}",-0.08333459670946997,0.027579950801649312,0.002514721649622409,0.04172364392461499,0.0007785082592419323,0.0,53.59434974427007,-1.997299105994586,0.6663013133301132,0.002721222201713669,-3.3032256829733453,-0.6913725290158266
debt,debt,2,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h2,gi_dyn0,2004,2023,531,27,2004,2023,8,8,OK,POL,2025,"{""debt"": -0.08146573873820974}",-0.0668139069885353,0.030636125092552927,0.029191823677394035,0.04172534751867339,0.0007549677955499829,0.0,55.26771839092433,-1.601278622272325,0.7382118320349546,0.030072693209333368,-3.0481472260221674,-0.15441001852248282
debt,debt,3,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h3,gi_dyn0,2004,2022,506,27,2004,2022,8,8,OK,POL,2025,"{""debt"": -0.08146573873820974}",-0.04413793239968068,0.03321857843342067,0.18394291881123537,0.04178283949633467,0.000766117068060889,0.0,54.538452722494206,-1.056365075512702,0.799078653803827,0.1861751956132942,-2.622530457782953,0.5098003067575487
debt,debt,4,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h4,gi_dyn0,2004,2021,481,27,2004,2021,8,8,OK,POL,2025,"{""debt"": -0.08146573873820974}",-0.01934832774130735,0.02887275402716893,0.5027786954101261,0.04168488168566309,0.000729121243001975,0.0,57.17139925046756,-0.46415695472543295,0.6960956997195604,0.5048995787361727,-1.8284794559689792,0.9001655465181133
debt,debt,5,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h5,gi_dyn0,2004,2020,456,27,2004,2020,8,8,OK,POL,2025,"{""debt"": -0.08146573873820974}",-0.0018476403255453112,0.025325157588897515,0.9418405614400418,0.04175935360068001,0.000654232666337061,0.0,63.82951471146134,-0.04424494553275902,0.6069020068173909,0.9418833479074278,-1.2337510210399272,1.1452611299744093
debt,debt,6,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h6,gi_dyn0,2004,2019,431,27,2004,2019,8,8,OK,POL,2025,"{""debt"": -0.08146573873820974}",-0.018753922219933834,0.018926347448405746,0.32173945590344455,0.041893008743496926,0.0006148114679111191,0.0,68.13960202439365,-0.44766233752177126,0.4553671953509823,0.32556811529921004,-1.3401656401507114,0.4448409651071689
debt,debt,7,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h7,gi_dyn0,2004,2018,405,27,2004,2018,8,8,OK,POL,2025,"{""debt"": -0.08146573873820974}",-0.03800143633887545,0.019798144076184375,0.054928119221494764,0.042098263737874855,0.0005022600876672739,0.0,83.81765697011382,-0.902684171857815,0.47812617056529405,0.05903101539079447,-1.839794246231846,0.03442590251621591
debt,debt,8,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h8,gi_dyn0,2004,2017,378,27,2004,2017,8,8,OK,POL,2025,"{""debt"": -0.08146573873820974}",-0.05628360422031937,0.015467259064903286,0.00027381916360935676,0.04228521206632859,0.0004308298695771946,0.0,98.14828323724679,-1.3310469894778556,0.3684429699490067,0.00030311066896948624,-2.053181940934882,-0.6089120380208293
debt+liq,debt|liq,0,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h0,gi_dyn0,2004,2025,583,27,2004,2025,10,10,OK,POL,2025,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922}",-0.056229431673938596,0.02204404332159554,0.010748317211033642,0.04246502921237618,0.0008242180929455989,0.0,51.52159310239628,-1.324135005129135,0.5218715797728978,0.011171714322075976,-2.346984506039036,-0.30128550421923395
