feature_set,scenario,scenario_sign,year,horizon_from_2028,Y_shortfall_pct,direct_discretionary_PB_level_pp,delta_cyclical_PB_pp,baseline_PB_pp,PB_new_pp,nominal_gdp_growth_new_pct,baseline_D_Y_pp,D_Y_new_pp,dsa_margin_vs_baseline_pp,direct_DY_LP_margin_initial_action_pp
debt,three_1pp_cut_2028_2030,cut,2024,-4,0.0,0.0,0.0,-4.269382953643799,-4.269382953643799,,55.08902359008789,55.08902359008789,0.0,0.0
debt,three_1pp_cut_2028_2030,cut,2025,-3,0.0,0.0,0.0,-4.325899124145508,-4.325899124145508,6.943162276891779,59.51612854003906,59.51612854003906,0.0,0.0
debt,three_1pp_cut_2028_2030,cut,2026,-2,0.0,0.0,0.0,-3.591127634048462,-3.591127634048462,6.625874450677793,64.90138244628906,64.90138244628906,0.0,0.0
debt,three_1pp_cut_2028_2030,cut,2027,-1,0.0,0.0,0.0,-3.824702739715576,-3.824702739715576,6.173631620015585,69.67215728759766,69.67215728759766,0.0,0.0
debt,three_1pp_cut_2028_2030,cut,2028,0,1.1338257952708586,1.0,-0.5442363817300121,-3.879892110824585,-3.424128492554597,4.227192520800016,73.19452667236328,73.53368339058801,0.3391567182247286,1.2783804036456303
debt,three_1pp_cut_2028_2030,cut,2029,1,3.110017884756916,2.0050366966301167,-1.4928085846833197,-3.947735786437988,-3.4355076744911908,3.1284968333640917,77.04766845703125,78.37203183916832,1.324363382137065,3.2756795096402165
debt,three_1pp_cut_2028_2030,cut,2030,2,5.1354571105075975,2.832475354177065,-2.4650194130436467,-3.9902679920196538,-3.6228120508862354,2.975450032391591,81.12287902832031,83.75639522358591,2.6335161952655994,4.8769581319125415
debt,three_1pp_cut_2028_2030,cut,2031,3,5.688814970829375,2.5271555457240664,-2.7306311859981,-3.907489061355591,-4.110964701629625,4.705967108758347,85.14363861083984,88.47641943098616,3.3327808201463114,4.654942803779614
debt,three_1pp_cut_2028_2030,cut,2032,4,5.159652583031617,2.1768090342320066,-2.4766332398551762,-4.024710655212402,-4.324534860835572,6.011928410849454,89.33782958984375,92.48243781646511,3.144608226621358,3.1218006525104602
debt,three_1pp_cut_2028_2030,cut,2033,5,4.59707787983981,2.0102580935002745,-2.206597382323109,-3.841931581497192,-4.0382708703200265,6.125137703985262,93.42025756835938,96.22284882070298,2.8025912523436034,1.564766975770894
