estimation_id,feature_set,features,horizon,response_type,dep_col,scale_col,nobs,country_n,year_min,year_max,rank,regressor_count,status,regressor_position,regressor,contrast_weight,poland_profile_source
linear__h0__output,linear_benchmark,,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,1,shock_G_I,1.0,{}
linear__h0__output,linear_benchmark,,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,2,shock_G_C,0.0,{}
linear__h0__output,linear_benchmark,,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,3,dlog_gi_lag1,0.0,{}
linear__h0__output,linear_benchmark,,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,4,dlog_gc_lag1,0.0,{}
linear__h0__output,linear_benchmark,,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,5,dlog_y_lag1,0.0,{}
linear__h0__output,linear_benchmark,,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,6,i_rate_lag1,0.0,{}
linear__h0__investment_path,linear_benchmark,,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,1,shock_G_I,1.0,{}
linear__h0__investment_path,linear_benchmark,,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,2,shock_G_C,0.0,{}
linear__h0__investment_path,linear_benchmark,,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,3,dlog_gi_lag1,0.0,{}
linear__h0__investment_path,linear_benchmark,,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,4,dlog_gc_lag1,0.0,{}
linear__h0__investment_path,linear_benchmark,,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,5,dlog_y_lag1,0.0,{}
linear__h0__investment_path,linear_benchmark,,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,6,i_rate_lag1,0.0,{}
linear__h1__output,linear_benchmark,,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,1,shock_G_I,1.0,{}
linear__h1__output,linear_benchmark,,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,2,shock_G_C,0.0,{}
linear__h1__output,linear_benchmark,,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,3,dlog_gi_lag1,0.0,{}
linear__h1__output,linear_benchmark,,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,4,dlog_gc_lag1,0.0,{}
linear__h1__output,linear_benchmark,,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,5,dlog_y_lag1,0.0,{}
linear__h1__output,linear_benchmark,,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,6,i_rate_lag1,0.0,{}
linear__h1__investment_path,linear_benchmark,,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,1,shock_G_I,1.0,{}
linear__h1__investment_path,linear_benchmark,,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,2,shock_G_C,0.0,{}
linear__h1__investment_path,linear_benchmark,,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,3,dlog_gi_lag1,0.0,{}
linear__h1__investment_path,linear_benchmark,,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,4,dlog_gc_lag1,0.0,{}
linear__h1__investment_path,linear_benchmark,,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,5,dlog_y_lag1,0.0,{}
linear__h1__investment_path,linear_benchmark,,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,6,i_rate_lag1,0.0,{}
linear__h2__output,linear_benchmark,,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,1,shock_G_I,1.0,{}
linear__h2__output,linear_benchmark,,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,2,shock_G_C,0.0,{}
linear__h2__output,linear_benchmark,,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,3,dlog_gi_lag1,0.0,{}
linear__h2__output,linear_benchmark,,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,4,dlog_gc_lag1,0.0,{}
linear__h2__output,linear_benchmark,,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,5,dlog_y_lag1,0.0,{}
linear__h2__output,linear_benchmark,,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,6,i_rate_lag1,0.0,{}
