feature_set,horizon,position,column
trade,8,1,shock_G_I
trade,8,2,shock_G_C
trade,8,3,trade_z_lag1
trade,8,4,shock_G_I_x_trade
trade,8,5,dlog_gi_lag1
trade,8,6,dlog_gc_lag1
trade,8,7,dlog_y_lag1
trade,8,8,i_rate_lag1
debt,8,1,shock_G_I
debt,8,2,shock_G_C
debt,8,3,debt_z_lag1
debt,8,4,shock_G_I_x_debt
debt,8,5,dlog_gi_lag1
debt,8,6,dlog_gc_lag1
debt,8,7,dlog_y_lag1
debt,8,8,i_rate_lag1
liq,8,1,shock_G_I
liq,8,2,shock_G_C
liq,8,3,liq_z_lag1
liq,8,4,shock_G_I_x_liq
liq,8,5,dlog_gi_lag1
liq,8,6,dlog_gc_lag1
liq,8,7,dlog_y_lag1
liq,8,8,i_rate_lag1
log_gdp_pc,8,1,shock_G_I
log_gdp_pc,8,2,shock_G_C
log_gdp_pc,8,3,log_gdp_pc_z_lag1
log_gdp_pc,8,4,shock_G_I_x_log_gdp_pc
log_gdp_pc,8,5,dlog_gi_lag1
log_gdp_pc,8,6,dlog_gc_lag1
log_gdp_pc,8,7,dlog_y_lag1
log_gdp_pc,8,8,i_rate_lag1
trade+debt,8,1,shock_G_I
trade+debt,8,2,shock_G_C
trade+debt,8,3,trade_z_lag1
trade+debt,8,4,debt_z_lag1
trade+debt,8,5,shock_G_I_x_trade
trade+debt,8,6,shock_G_I_x_debt
trade+debt,8,7,dlog_gi_lag1
trade+debt,8,8,dlog_gc_lag1
trade+debt,8,9,dlog_y_lag1
trade+debt,8,10,i_rate_lag1
trade+liq,8,1,shock_G_I
trade+liq,8,2,shock_G_C
trade+liq,8,3,trade_z_lag1
trade+liq,8,4,liq_z_lag1
trade+liq,8,5,shock_G_I_x_trade
trade+liq,8,6,shock_G_I_x_liq
trade+liq,8,7,dlog_gi_lag1
trade+liq,8,8,dlog_gc_lag1
trade+liq,8,9,dlog_y_lag1
trade+liq,8,10,i_rate_lag1
trade+log_gdp_pc,8,1,shock_G_I
trade+log_gdp_pc,8,2,shock_G_C
trade+log_gdp_pc,8,3,trade_z_lag1
trade+log_gdp_pc,8,4,log_gdp_pc_z_lag1
trade+log_gdp_pc,8,5,shock_G_I_x_trade
trade+log_gdp_pc,8,6,shock_G_I_x_log_gdp_pc
trade+log_gdp_pc,8,7,dlog_gi_lag1
trade+log_gdp_pc,8,8,dlog_gc_lag1
trade+log_gdp_pc,8,9,dlog_y_lag1
trade+log_gdp_pc,8,10,i_rate_lag1
debt+liq,8,1,shock_G_I
debt+liq,8,2,shock_G_C
debt+liq,8,3,debt_z_lag1
debt+liq,8,4,liq_z_lag1
debt+liq,8,5,shock_G_I_x_debt
debt+liq,8,6,shock_G_I_x_liq
debt+liq,8,7,dlog_gi_lag1
debt+liq,8,8,dlog_gc_lag1
debt+liq,8,9,dlog_y_lag1
debt+liq,8,10,i_rate_lag1
debt+log_gdp_pc,8,1,shock_G_I
debt+log_gdp_pc,8,2,shock_G_C
debt+log_gdp_pc,8,3,debt_z_lag1
debt+log_gdp_pc,8,4,log_gdp_pc_z_lag1
debt+log_gdp_pc,8,5,shock_G_I_x_debt
debt+log_gdp_pc,8,6,shock_G_I_x_log_gdp_pc
debt+log_gdp_pc,8,7,dlog_gi_lag1
debt+log_gdp_pc,8,8,dlog_gc_lag1
debt+log_gdp_pc,8,9,dlog_y_lag1
debt+log_gdp_pc,8,10,i_rate_lag1
liq+log_gdp_pc,8,1,shock_G_I
liq+log_gdp_pc,8,2,shock_G_C
liq+log_gdp_pc,8,3,liq_z_lag1
liq+log_gdp_pc,8,4,log_gdp_pc_z_lag1
liq+log_gdp_pc,8,5,shock_G_I_x_liq
liq+log_gdp_pc,8,6,shock_G_I_x_log_gdp_pc
liq+log_gdp_pc,8,7,dlog_gi_lag1
liq+log_gdp_pc,8,8,dlog_gc_lag1
liq+log_gdp_pc,8,9,dlog_y_lag1
liq+log_gdp_pc,8,10,i_rate_lag1
trade+debt+liq,8,1,shock_G_I
trade+debt+liq,8,2,shock_G_C
trade+debt+liq,8,3,trade_z_lag1
trade+debt+liq,8,4,debt_z_lag1
trade+debt+liq,8,5,liq_z_lag1
trade+debt+liq,8,6,shock_G_I_x_trade
trade+debt+liq,8,7,shock_G_I_x_debt
trade+debt+liq,8,8,shock_G_I_x_liq
trade+debt+liq,8,9,dlog_gi_lag1
trade+debt+liq,8,10,dlog_gc_lag1
trade+debt+liq,8,11,dlog_y_lag1
trade+debt+liq,8,12,i_rate_lag1
trade+debt+log_gdp_pc,8,1,shock_G_I
trade+debt+log_gdp_pc,8,2,shock_G_C
trade+debt+log_gdp_pc,8,3,trade_z_lag1
trade+debt+log_gdp_pc,8,4,debt_z_lag1
trade+debt+log_gdp_pc,8,5,log_gdp_pc_z_lag1
trade+debt+log_gdp_pc,8,6,shock_G_I_x_trade
trade+debt+log_gdp_pc,8,7,shock_G_I_x_debt
trade+debt+log_gdp_pc,8,8,shock_G_I_x_log_gdp_pc
trade+debt+log_gdp_pc,8,9,dlog_gi_lag1
trade+debt+log_gdp_pc,8,10,dlog_gc_lag1
trade+debt+log_gdp_pc,8,11,dlog_y_lag1
trade+debt+log_gdp_pc,8,12,i_rate_lag1
trade+liq+log_gdp_pc,8,1,shock_G_I
trade+liq+log_gdp_pc,8,2,shock_G_C
trade+liq+log_gdp_pc,8,3,trade_z_lag1
trade+liq+log_gdp_pc,8,4,liq_z_lag1
trade+liq+log_gdp_pc,8,5,log_gdp_pc_z_lag1
trade+liq+log_gdp_pc,8,6,shock_G_I_x_trade
trade+liq+log_gdp_pc,8,7,shock_G_I_x_liq
trade+liq+log_gdp_pc,8,8,shock_G_I_x_log_gdp_pc
trade+liq+log_gdp_pc,8,9,dlog_gi_lag1
trade+liq+log_gdp_pc,8,10,dlog_gc_lag1
trade+liq+log_gdp_pc,8,11,dlog_y_lag1
trade+liq+log_gdp_pc,8,12,i_rate_lag1
debt+liq+log_gdp_pc,8,1,shock_G_I
debt+liq+log_gdp_pc,8,2,shock_G_C
debt+liq+log_gdp_pc,8,3,debt_z_lag1
debt+liq+log_gdp_pc,8,4,liq_z_lag1
debt+liq+log_gdp_pc,8,5,log_gdp_pc_z_lag1
debt+liq+log_gdp_pc,8,6,shock_G_I_x_debt
debt+liq+log_gdp_pc,8,7,shock_G_I_x_liq
debt+liq+log_gdp_pc,8,8,shock_G_I_x_log_gdp_pc
debt+liq+log_gdp_pc,8,9,dlog_gi_lag1
debt+liq+log_gdp_pc,8,10,dlog_gc_lag1
debt+liq+log_gdp_pc,8,11,dlog_y_lag1
debt+liq+log_gdp_pc,8,12,i_rate_lag1
trade+debt+liq+log_gdp_pc,8,1,shock_G_I
trade+debt+liq+log_gdp_pc,8,2,shock_G_C
trade+debt+liq+log_gdp_pc,8,3,trade_z_lag1
trade+debt+liq+log_gdp_pc,8,4,debt_z_lag1
trade+debt+liq+log_gdp_pc,8,5,liq_z_lag1
trade+debt+liq+log_gdp_pc,8,6,log_gdp_pc_z_lag1
trade+debt+liq+log_gdp_pc,8,7,shock_G_I_x_trade
trade+debt+liq+log_gdp_pc,8,8,shock_G_I_x_debt
trade+debt+liq+log_gdp_pc,8,9,shock_G_I_x_liq
trade+debt+liq+log_gdp_pc,8,10,shock_G_I_x_log_gdp_pc
trade+debt+liq+log_gdp_pc,8,11,dlog_gi_lag1
trade+debt+liq+log_gdp_pc,8,12,dlog_gc_lag1
trade+debt+liq+log_gdp_pc,8,13,dlog_y_lag1
trade+debt+liq+log_gdp_pc,8,14,i_rate_lag1
