country,year,nominal_gdp_mio_eur,debt_raw,gdp_pc_current_pps,gdp_pc_real_index_2020,gdp_pc_current_pps_2020_anchor,real_ppp_gdp_pc_2020pps,log_real_ppp_gdp_pc_raw,hh_total_financial_assets_mio_eur,hh_total_financial_liabilities_mio_eur,hh_net_financial_worth_to_gdp,liq_raw,trade_raw
AUT,1995,183629.2,68.6,19766.3,77.376,37385.6,28927.481856,10.272547351527065,263150.2,77313.0,1.0120242314403156,-1.0120242314403156,0.37279
AUT,1996,185944.9,68.6,20696.5,78.984,37385.6,29528.642303999997,10.293115996843886,270034.1,78738.9,1.028773577549048,-1.028773577549048,0.37457
AUT,1997,186913.0,63.9,21167.6,80.588,37385.6,30128.307328,10.313220451588402,276786.2,80487.0,1.0502169458518136,-1.0502169458518136,0.38979
AUT,1998,193947.0,64.3,22074.4,83.311,37385.6,31146.317216000003,10.346451289810457,292742.3,83302.5,1.0798816171428276,-1.0798816171428276,0.39062
AUT,1999,203064.9,67.1,22982.2,86.277,37385.6,32255.174112,10.381433746936581,310344.9,90688.7,1.081704420606417,-1.081704420606417,0.39645
AUT,2000,212406.8,66.6,24270.2,88.815,37385.6,33204.020639999995,10.410426251186587,329557.7,96442.7,1.0974931122732419,-1.0974931122732419,0.42445
AUT,2001,219373.3,67.2,24465.8,89.641,37385.6,33512.825696,10.419683501139287,337973.0,100207.2,1.083841105549308,-1.083841105549308,0.42488
AUT,2002,225087.9,67.4,25375.8,90.523,37385.6,33842.566688,10.429474658598002,346450.1,104909.5,1.0730945555047604,-1.0730945555047604,0.40244
AUT,2003,230541.9,66.4,26256.2,91.149,37385.6,34076.600544,10.436366226672186,367071.1,108603.3,1.121131560033122,-1.121131560033122,0.39332
AUT,2004,240541.7,65.9,27399.5,92.901,37385.6,34731.596256,10.455405106559244,390141.3,115706.1,1.1409048826045545,-1.1409048826045545,0.40007
AUT,2005,252354.9,69.4,28495.1,94.412,37385.6,35296.492672,10.471538880251371,428435.9,132673.1,1.1720113221498771,-1.1720113221498771,0.39274
AUT,2006,265933.7,68.2,29734.7,96.995,37385.6,36262.16272,10.498530127317807,456961.1,141173.0,1.1874692827573188,-1.1874692827573188,0.3995
AUT,2007,282208.2,65.8,30945.9,100.327,37385.6,37507.850911999994,10.53230554769958,481859.7,147581.1,1.1845105847385013,-1.1845105847385013,0.40057
AUT,2008,291846.2,69.5,31853.9,101.462,37385.6,37932.177472,10.543555040680852,474801.7,154460.8,1.0976360151339988,-1.0976360151339988,0.40126
AUT,2009,286274.1,80.8,30722.4,97.59,37385.6,36484.60704,10.504645725688107,510557.9,154950.1,1.2421934083453587,-1.2421934083453587,0.37702
AUT,2010,294050.6,83.7,31605.6,99.123,37385.6,37057.728288000006,10.520232199741434,533951.8,162388.1,1.2636046313117542,-1.2636046313117542,0.41125
AUT,2011,308167.0,83.4,32928.8,101.69,37385.6,38017.416639999996,10.545799666337784,538048.0,165813.9,1.2078973413765912,-1.2078973413765912,0.42884
AUT,2012,316589.4,82.9,34099.8,101.87,37385.6,38084.71072,10.547568187136713,562011.4,168853.1,1.241855539067322,-1.241855539067322,0.42871
AUT,2013,321191.7,82.4,34310.4,101.004,37385.6,37760.951424,10.539030816552177,586464.7,170244.7,1.2958616302974202,-1.2958616302974202,0.43353
AUT,2014,330113.5,85.2,34668.5,100.973,37385.6,37749.361888,10.538723850905164,610298.6,173702.5,1.32256360312438,-1.32256360312438,0.41609
AUT,2015,342083.5,85.6,35681.9,101.275,37385.6,37862.2664,10.541710285623493,626126.2,178977.9,1.3071320306299483,-1.3071320306299483,0.41462
AUT,2016,355665.6,83.4,36385.1,102.114,37385.6,38175.931584,10.549960532775332,652006.4,184407.5,1.3147150019568945,-1.3147150019568945,0.41218
AUT,2017,367294.9,79.1,37012.2,103.778,37385.6,38798.027968,10.566124698752692,685145.3,187600.9,1.3546183189584173,-1.3546183189584173,0.42901
AUT,2018,383234.3,74.6,38419.4,105.843,37385.6,39570.040608,10.585827560610937,697300.7,193225.7,1.3153180704336744,-1.3153180704336744,0.4444
AUT,2019,395706.8,71.0,39263.8,107.216,37385.6,40083.344895999995,10.598716187765552,732700.7,199546.8,1.3473458126067075,-1.3473458126067075,0.44122
AUT,2020,380317.9,83.2,37385.6,100.0,37385.6,37385.6,10.529040882522828,781127.4,205409.3,1.5137812340676051,-1.5137812340676051,0.4206
AUT,2021,406231.5,82.4,40185.6,104.517,37385.6,39074.307552,10.573220434134578,845154.7,214351.7,1.552816559030996,-1.552816559030996,0.44761
AUT,2022,449382.2,78.1,44569.5,108.856,37385.6,40696.468735999995,10.613896604423296,840005.1,220907.9,1.3776629336898523,-1.3776629336898523,0.46661
AUT,2023,477837.3,77.8,46390.3,107.08,37385.6,40032.50048,10.59744691518689,874348.7,217843.5,1.3739094876017421,-1.3739094876017421,
AUT,2024,494087.6,80.0,47527.5,105.827,37385.6,39564.058912,10.585676381889055,922515.9,216925.7,1.4280670067413146,-1.4280670067413146,
AUT,2025,512813.0,81.5,48882.4,106.156,37385.6,39687.057536,10.588780406873688,968605.9,218884.5,1.461978147979868,-1.461978147979868,
BEL,1995,220251.5,131.5,18796.6,77.286,35850.5,27707.41743,10.229455433585818,575733.9,89542.9,2.2074355906770213,-2.2074355906770213,0.43427
BEL,1996,219965.3,129.2,19271.7,78.155,35850.5,28018.958275,10.240636641291246,600789.3,91262.1,2.3163980864254503,-2.3163980864254503,0.455
BEL,1997,223032.7,124.3,19857.5,80.928,35850.5,29013.09264,10.275502477431365,637177.4,95855.5,2.4270965647638216,-2.4270965647638216,0.46061
BEL,1998,231015.7,119.3,20277.9,82.34,35850.5,29519.3017,10.29279962328557,672222.1,99255.0,2.4802084879945387,-2.4802084879945387,0.46076
BEL,1999,242307.6,115.4,21261.2,85.057,35850.5,30493.359785,10.325264226925599,739092.7,104869.4,2.6174304891798688,-2.6174304891798688,0.45715
BEL,2000,256376.4,109.7,23085.2,88.005,35850.5,31550.232525,10.359336237989744,741634.0,107165.8,2.474752746352628,-2.474752746352628,0.48997
BEL,2001,264334.9,108.5,23836.8,88.667,35850.5,31787.562835,10.36683038644883,752582.4,105863.9,2.4465876431753806,-2.4465876431753806,0.48948
BEL,2002,273255.9,105.6,24827.0,89.777,35850.5,32185.503385,10.379271424724823,712681.0,109776.3,2.206373952035436,-2.206373952035436,0.47575
BEL,2003,281200.2,101.8,25401.6,90.33,35850.5,32383.75665,10.385412238105564,748402.8,114579.1,2.253994485067934,-2.253994485067934,0.46293
BEL,2004,296819.7,97.2,26199.1,93.152,35850.5,33395.45776,10.416175174507023,812085.6,124130.3,2.31775485252495,-2.31775485252495,0.47375
BEL,2005,310037.6,95.2,27176.8,94.792,35850.5,33983.40596,10.43362762445825,885941.2,137885.7,2.412789610034396,-2.412789610034396,0.48497
BEL,2006,325151.5,91.5,28033.0,96.572,35850.5,34621.54486,10.452231451073718,921218.4,151702.1,2.366639243552621,-2.366639243552621,0.48096
BEL,2007,343618.9,87.5,29054.7,99.39,35850.5,35631.811949999996,10.480994111923724,956485.8,166707.9,2.2984122817458528,-2.2984122817458528,0.48795
BEL,2008,351743.1,93.2,29399.0,99.049,35850.5,35509.561745,10.47755728412625,894214.0,180219.6,2.0298746443071662,-2.0298746443071662,0.49146
BEL,2009,347734.9,99.9,28616.0,96.382,35850.5,34553.42891,10.450262069133888,982517.7,185980.0,2.2906464090892227,-2.2906464090892227,0.4861
BEL,2010,363242.4,100.3,30161.8,98.094,35850.5,35167.18947,10.467868809565141,1048191.9,197335.1,2.342393949605002,-2.342393949605002,0.49499
BEL,2011,378745.4,102.8,30735.5,98.695,35850.5,35382.650975,10.473976893538762,1070136.0,214251.1,2.2597895578401745,-2.2597895578401745,0.50066
BEL,2012,387934.9,104.4,31372.6,98.298,35850.5,35240.32449,10.469946288009993,1116379.7,221094.5,2.307823297156301,-2.307823297156301,0.50486
BEL,2013,394616.3,105.1,31661.5,98.134,35850.5,35181.52967,10.468276498585608,1152055.4,227685.1,2.3424534161411983,-2.3424534161411983,0.50225
BEL,2014,404958.3,106.6,32359.4,99.424,35850.5,35644.00112,10.481336140154449,1212093.6,240540.2,2.3991443069570377,-2.3991443069570377,0.51705
