candidate_table,csv,markdown,rows,columns,source_objects,status
r788_state_variable_profile,results/candidate_tables_r788/r788_state_variable_profile.csv,results/candidate_tables_r788/r788_state_variable_profile.md,4,10,Table 2a; Appendix A.1-A.2,candidate_from_notebook_visible_state_construction
r788_model_admission_screen,results/candidate_tables_r788/r788_model_admission_screen.csv,results/candidate_tables_r788/r788_model_admission_screen.md,15,9,Table 2b; Appendix A.3-A.4,candidate_from_notebook_visible_admission_screen
r788_h8_retained_responses,results/candidate_tables_r788/r788_h8_retained_responses.csv,results/candidate_tables_r788/r788_h8_retained_responses.md,5,11,Table 3; Table 4,candidate_from_notebook_visible_response_paths
r788_ky_paths,results/candidate_tables_r788/r788_ky_paths.csv,results/candidate_tables_r788/r788_ky_paths.md,9,6,Table 4; Appendix B.1; Figure 2,candidate_from_notebook_visible_response_paths
r788_kg_paths,results/candidate_tables_r788/r788_kg_paths.csv,results/candidate_tables_r788/r788_kg_paths.md,9,6,Appendix B.2,candidate_from_notebook_visible_response_paths
r788_output_spending_ratio_paths,results/candidate_tables_r788/r788_output_spending_ratio_paths.csv,results/candidate_tables_r788/r788_output_spending_ratio_paths.md,9,6,Appendix B.3; Appendix Figure ratio,candidate_from_notebook_visible_response_paths
r788_debt_2036_summary,results/candidate_tables_r788/r788_debt_2036_summary.csv,results/candidate_tables_r788/r788_debt_2036_summary.md,10,7,Table 5; Appendix C.1; Figure 3,candidate_from_notebook_visible_debt_paths
r788_annual_debt_decomposition_retained_single,results/candidate_tables_r788/r788_annual_debt_decomposition_retained_single.csv,results/candidate_tables_r788/r788_annual_debt_decomposition_retained_single.md,130,15,Appendix C annual debt tables,candidate_from_notebook_visible_debt_paths_including_equal_weight_annual
r788_annual_debt_decomposition_retained_paths,results/candidate_tables_r788/r788_annual_debt_decomposition_retained_paths.csv,results/candidate_tables_r788/r788_annual_debt_decomposition_retained_paths.md,130,15,Appendix C annual debt tables,candidate_from_notebook_visible_debt_paths_including_equal_weight_annual
r788_uncertainty_summary,results/candidate_tables_r788/r788_uncertainty_summary.csv,results/candidate_tables_r788/r788_uncertainty_summary.md,48,13,Appendix uncertainty disclosure,candidate_from_country_bootstrap_diagnostic_not_paper_truth
r788_visible_lp_estimates_all_horizons,results/candidate_tables_r788/r788_visible_lp_estimates_all_horizons.csv,results/candidate_tables_r788/r788_visible_lp_estimates_all_horizons.md,288,32,Appendix D coefficient tables,candidate_data_available_needs_display_formatting
r788_appendix_d_coefficients_display,results/candidate_tables_r788/r788_appendix_d_coefficients_display.csv,results/candidate_tables_r788/r788_appendix_d_coefficients_display.md,288,9,Appendix D.2-D.3 replacement,r788_appendix_d_reader_facing_replacement_table
r788_appendix_d_pvalue_summary,results/candidate_tables_r788/r788_appendix_d_pvalue_summary.csv,results/candidate_tables_r788/r788_appendix_d_pvalue_summary.md,32,10,Appendix D uncertainty note replacement support,r788_appendix_d_reader_facing_replacement_table
r788_appendix_d_sample_diagnostics,results/candidate_tables_r788/r788_appendix_d_sample_diagnostics.csv,results/candidate_tables_r788/r788_appendix_d_sample_diagnostics.md,288,8,Appendix D sample diagnostics replacement,r788_appendix_d_reader_facing_replacement_table
r788_appendix_d_response_bridge,results/candidate_tables_r788/r788_appendix_d_response_bridge.csv,results/candidate_tables_r788/r788_appendix_d_response_bridge.md,45,6,Appendix D.4 replacement,r788_appendix_d_reader_facing_replacement_table
