country,year,nominal_gdp_mio_eur,gdp_pc_current_pps,gdp_pc_real_index_2020,hh_total_financial_assets_mio_eur,hh_total_financial_liabilities_mio_eur
AUT,1995,183629.2,19766.3,77.376,263150.2,77313.0
AUT,1996,185944.9,20696.5,78.984,270034.1,78738.9
AUT,1997,186913.0,21167.6,80.588,276786.2,80487.0
AUT,1998,193947.0,22074.4,83.311,292742.3,83302.5
AUT,1999,203064.9,22982.2,86.277,310344.9,90688.7
AUT,2000,212406.8,24270.2,88.815,329557.7,96442.7
AUT,2001,219373.3,24465.8,89.641,337973.0,100207.2
AUT,2002,225087.9,25375.8,90.523,346450.1,104909.5
AUT,2003,230541.9,26256.2,91.149,367071.1,108603.3
AUT,2004,240541.7,27399.5,92.901,390141.3,115706.1
AUT,2005,252354.9,28495.1,94.412,428435.9,132673.1
AUT,2006,265933.7,29734.7,96.995,456961.1,141173.0
AUT,2007,282208.2,30945.9,100.327,481859.7,147581.1
AUT,2008,291846.2,31853.9,101.462,474801.7,154460.8
AUT,2009,286274.1,30722.4,97.59,510557.9,154950.1
AUT,2010,294050.6,31605.6,99.123,533951.8,162388.1
AUT,2011,308167.0,32928.8,101.69,538048.0,165813.9
AUT,2012,316589.4,34099.8,101.87,562011.4,168853.1
AUT,2013,321191.7,34310.4,101.004,586464.7,170244.7
AUT,2014,330113.5,34668.5,100.973,610298.6,173702.5
AUT,2015,342083.5,35681.9,101.275,626126.2,178977.9
AUT,2016,355665.6,36385.1,102.114,652006.4,184407.5
AUT,2017,367294.9,37012.2,103.778,685145.3,187600.9
AUT,2018,383234.3,38419.4,105.843,697300.7,193225.7
AUT,2019,395706.8,39263.8,107.216,732700.7,199546.8
AUT,2020,380317.9,37385.6,100.0,781127.4,205409.3
AUT,2021,406231.5,40185.6,104.517,845154.7,214351.7
AUT,2022,449382.2,44569.5,108.856,840005.1,220907.9
AUT,2023,477837.3,46390.3,107.08,874348.7,217843.5
AUT,2024,494087.6,47527.5,105.827,922515.9,216925.7
AUT,2025,512813.0,48882.4,106.156,968605.9,218884.5
BEL,1995,220251.5,18796.6,77.286,575733.9,89542.9
BEL,1996,219965.3,19271.7,78.155,600789.3,91262.1
BEL,1997,223032.7,19857.5,80.928,637177.4,95855.5
BEL,1998,231015.7,20277.9,82.34,672222.1,99255.0
BEL,1999,242307.6,21261.2,85.057,739092.7,104869.4
BEL,2000,256376.4,23085.2,88.005,741634.0,107165.8
