estimation_id,feature_set,features,horizon,response_type,dep_col,scale_col,nobs,country_n,year_min,year_max,rank,regressor_count,status,equation_role,outcome_col,regressor_position,regressor,coefficient,std_error,t_stat,p_value
linear__h0__output,linear_benchmark,,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,numerator,y_dyn_h0,1,shock_G_I,0.047766468620345594,0.010735915521911893,4.449221728957789,8.61820095776622e-06
linear__h0__output,linear_benchmark,,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,numerator,y_dyn_h0,2,shock_G_C,0.24320755310912767,0.059108699757038856,4.1145813409669145,3.8788276486956264e-05
linear__h0__output,linear_benchmark,,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,numerator,y_dyn_h0,3,dlog_gi_lag1,0.01982684199190432,0.006867915542828364,2.8868791219495944,0.0038908367886520967
linear__h0__output,linear_benchmark,,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,numerator,y_dyn_h0,4,dlog_gc_lag1,0.022177712563381212,0.0638020320707831,0.34760197823757194,0.7281391204082392
linear__h0__output,linear_benchmark,,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,numerator,y_dyn_h0,5,dlog_y_lag1,0.2992693777284874,0.08808244840052892,3.397605120689292,0.0006797846523292073
linear__h0__output,linear_benchmark,,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,numerator,y_dyn_h0,6,i_rate_lag1,-0.1107787204867805,0.12172841920154487,-0.91004813184475,0.36279712675568554
linear__h0__output,linear_benchmark,,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,denominator,gi_dyn0,1,shock_G_I,0.04109367031598943,0.0011372286658322649,36.13492303758945,0.0
linear__h0__output,linear_benchmark,,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,denominator,gi_dyn0,2,shock_G_C,0.001925038527843986,0.003463465861324116,0.555812762395188,0.5783388600018899
linear__h0__output,linear_benchmark,,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,denominator,gi_dyn0,3,dlog_gi_lag1,-0.00239549746056744,0.0009517796946921578,-2.5168612799017906,0.011840543763125044
linear__h0__output,linear_benchmark,,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,denominator,gi_dyn0,4,dlog_gc_lag1,0.02026789601846304,0.0030690559055522675,6.603951391630285,4.003397613416837e-11
linear__h0__output,linear_benchmark,,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,denominator,gi_dyn0,5,dlog_y_lag1,0.020231945633195265,0.004152482891947029,4.872252616002675,1.1033296620777122e-06
linear__h0__output,linear_benchmark,,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,denominator,gi_dyn0,6,i_rate_lag1,-0.030550171074316464,0.007360805886886509,-4.150384012807957,3.319179330807387e-05
linear__h0__investment_path,linear_benchmark,,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,numerator,gi_dyn_h0,1,shock_G_I,0.04109367031598943,0.0011372286658322649,36.13492303758945,0.0
linear__h0__investment_path,linear_benchmark,,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,numerator,gi_dyn_h0,2,shock_G_C,0.001925038527843986,0.003463465861324116,0.555812762395188,0.5783388600018899
linear__h0__investment_path,linear_benchmark,,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,numerator,gi_dyn_h0,3,dlog_gi_lag1,-0.00239549746056744,0.0009517796946921578,-2.5168612799017906,0.011840543763125044
linear__h0__investment_path,linear_benchmark,,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,numerator,gi_dyn_h0,4,dlog_gc_lag1,0.02026789601846304,0.0030690559055522675,6.603951391630285,4.003397613416837e-11
linear__h0__investment_path,linear_benchmark,,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,numerator,gi_dyn_h0,5,dlog_y_lag1,0.020231945633195265,0.004152482891947029,4.872252616002675,1.1033296620777122e-06
linear__h0__investment_path,linear_benchmark,,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,numerator,gi_dyn_h0,6,i_rate_lag1,-0.030550171074316464,0.007360805886886509,-4.150384012807957,3.319179330807387e-05
linear__h0__investment_path,linear_benchmark,,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,denominator,gi_dyn0,1,shock_G_I,0.04109367031598943,0.0011372286658322649,36.13492303758945,0.0
linear__h0__investment_path,linear_benchmark,,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,denominator,gi_dyn0,2,shock_G_C,0.001925038527843986,0.003463465861324116,0.555812762395188,0.5783388600018899
linear__h0__investment_path,linear_benchmark,,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,denominator,gi_dyn0,3,dlog_gi_lag1,-0.00239549746056744,0.0009517796946921578,-2.5168612799017906,0.011840543763125044
linear__h0__investment_path,linear_benchmark,,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,denominator,gi_dyn0,4,dlog_gc_lag1,0.02026789601846304,0.0030690559055522675,6.603951391630285,4.003397613416837e-11
linear__h0__investment_path,linear_benchmark,,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,denominator,gi_dyn0,5,dlog_y_lag1,0.020231945633195265,0.004152482891947029,4.872252616002675,1.1033296620777122e-06
linear__h0__investment_path,linear_benchmark,,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,denominator,gi_dyn0,6,i_rate_lag1,-0.030550171074316464,0.007360805886886509,-4.150384012807957,3.319179330807387e-05
linear__h1__output,linear_benchmark,,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,numerator,y_dyn_h1,1,shock_G_I,0.03856265802623402,0.012761164174082594,3.0218761783939128,0.002512132845353676
linear__h1__output,linear_benchmark,,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,numerator,y_dyn_h1,2,shock_G_C,0.18646673100251177,0.063773550464235,2.923888189463195,0.003456888929800117
linear__h1__output,linear_benchmark,,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,numerator,y_dyn_h1,3,dlog_gi_lag1,0.00670897510865651,0.0073911141272470175,0.9077082281714698,0.36403239555527156
linear__h1__output,linear_benchmark,,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,numerator,y_dyn_h1,4,dlog_gc_lag1,0.02450480222930595,0.05355735582447446,0.4575431675457702,0.6472806822143429
linear__h1__output,linear_benchmark,,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,numerator,y_dyn_h1,5,dlog_y_lag1,0.001753319878385526,0.09449236606972647,0.01855514843486659,0.9851959830331736
linear__h1__output,linear_benchmark,,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,numerator,y_dyn_h1,6,i_rate_lag1,0.0018595168777466725,0.12255641429380225,0.01517274218947763,0.9878943677409375
linear__h1__output,linear_benchmark,,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,denominator,gi_dyn0,1,shock_G_I,0.04111631348948037,0.0011426274188832805,35.98400739382257,0.0
linear__h1__output,linear_benchmark,,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,denominator,gi_dyn0,2,shock_G_C,0.0018274251289046423,0.0034724928495869904,0.5262574202627924,0.5987093631471774
linear__h1__output,linear_benchmark,,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,denominator,gi_dyn0,3,dlog_gi_lag1,-0.0023419631726820473,0.0009532223042841995,-2.456890866019644,0.01401452536793757
linear__h1__output,linear_benchmark,,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,denominator,gi_dyn0,4,dlog_gc_lag1,0.019203094349320042,0.00319055857635195,6.01872490028898,1.7579633304620756e-09
linear__h1__output,linear_benchmark,,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,denominator,gi_dyn0,5,dlog_y_lag1,0.020582355107471913,0.00429687886004005,4.790071067370065,1.6672225386926698e-06
linear__h1__output,linear_benchmark,,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,denominator,gi_dyn0,6,i_rate_lag1,-0.030418423391071574,0.007380952807034172,-4.121205511852387,3.768950230353951e-05
linear__h1__investment_path,linear_benchmark,,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,numerator,gi_dyn_h1,1,shock_G_I,0.00022489677925345732,0.0035692673553323687,0.0630092276269159,0.9497591563402947
linear__h1__investment_path,linear_benchmark,,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,numerator,gi_dyn_h1,2,shock_G_C,0.03562171653019288,0.008926424082665651,3.9905919996975268,6.590857655641713e-05
linear__h1__investment_path,linear_benchmark,,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,numerator,gi_dyn_h1,3,dlog_gi_lag1,-0.007050404867544491,0.002193845547081894,-3.2137197976049254,0.0013102747033004736
linear__h1__investment_path,linear_benchmark,,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,numerator,gi_dyn_h1,4,dlog_gc_lag1,-0.003591045728209626,0.011439579005804818,-0.31391415072070494,0.753586242537128
linear__h1__investment_path,linear_benchmark,,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,numerator,gi_dyn_h1,5,dlog_y_lag1,0.0217884049856431,0.014930067194567147,1.4593641610381773,0.14446490463665018
linear__h1__investment_path,linear_benchmark,,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,numerator,gi_dyn_h1,6,i_rate_lag1,0.04003632700812936,0.038372134522189266,1.0433698178811959,0.2967770466188049
linear__h1__investment_path,linear_benchmark,,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,denominator,gi_dyn0,1,shock_G_I,0.04111631348948037,0.0011426274188832805,35.98400739382257,0.0
linear__h1__investment_path,linear_benchmark,,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,denominator,gi_dyn0,2,shock_G_C,0.0018274251289046423,0.0034724928495869904,0.5262574202627924,0.5987093631471774
linear__h1__investment_path,linear_benchmark,,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,denominator,gi_dyn0,3,dlog_gi_lag1,-0.0023419631726820473,0.0009532223042841995,-2.456890866019644,0.01401452536793757
linear__h1__investment_path,linear_benchmark,,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,denominator,gi_dyn0,4,dlog_gc_lag1,0.019203094349320042,0.00319055857635195,6.01872490028898,1.7579633304620756e-09
linear__h1__investment_path,linear_benchmark,,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,denominator,gi_dyn0,5,dlog_y_lag1,0.020582355107471913,0.00429687886004005,4.790071067370065,1.6672225386926698e-06
linear__h1__investment_path,linear_benchmark,,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,denominator,gi_dyn0,6,i_rate_lag1,-0.030418423391071574,0.007380952807034172,-4.121205511852387,3.768950230353951e-05
linear__h2__output,linear_benchmark,,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,numerator,y_dyn_h2,1,shock_G_I,0.005679249160775748,0.010102363902218192,0.5621703212976465,0.5739999802163571
linear__h2__output,linear_benchmark,,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,numerator,y_dyn_h2,2,shock_G_C,0.04313936412999761,0.04957065298510552,0.8702601545910578,0.38415824871060433
linear__h2__output,linear_benchmark,,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,numerator,y_dyn_h2,3,dlog_gi_lag1,-0.0037802032977501876,0.010465351165590506,-0.3612113189454441,0.7179414812655696
linear__h2__output,linear_benchmark,,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,numerator,y_dyn_h2,4,dlog_gc_lag1,0.013884181873020643,0.04524317698095335,0.3068790213133277,0.7589354576844873
linear__h2__output,linear_benchmark,,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,numerator,y_dyn_h2,5,dlog_y_lag1,-0.03665973175615059,0.07519147793807018,-0.4875516848644014,0.6258674250927805
linear__h2__output,linear_benchmark,,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,numerator,y_dyn_h2,6,i_rate_lag1,0.20896996118830388,0.10334996218754663,2.021964563558245,0.04318001288549289
linear__h2__output,linear_benchmark,,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,denominator,gi_dyn0,1,shock_G_I,0.04112632219059709,0.0012221228155918468,33.651546036050824,0.0
linear__h2__output,linear_benchmark,,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,denominator,gi_dyn0,2,shock_G_C,0.0024785810915814027,0.0039300422892949,0.6306754251303723,0.5282527706041051
linear__h2__output,linear_benchmark,,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,denominator,gi_dyn0,3,dlog_gi_lag1,-0.0023334966672142322,0.0010100297523048093,-2.3103246829010478,0.020870185400434282
linear__h2__output,linear_benchmark,,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,denominator,gi_dyn0,4,dlog_gc_lag1,0.019414674669703695,0.0034192249790667936,5.67809219591117,1.3620530037172784e-08
linear__h2__output,linear_benchmark,,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,denominator,gi_dyn0,5,dlog_y_lag1,0.019992450982693095,0.004781820894827448,4.180928441782327,2.903212262062027e-05
linear__h2__output,linear_benchmark,,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,denominator,gi_dyn0,6,i_rate_lag1,-0.029755294751303438,0.008199271839934255,-3.6290167385817553,0.00028450279512837184
linear__h2__investment_path,linear_benchmark,,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,numerator,gi_dyn_h2,1,shock_G_I,-0.0067715497211814895,0.0021330424787533286,-3.1745967502434214,0.001500448602848703
linear__h2__investment_path,linear_benchmark,,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,numerator,gi_dyn_h2,2,shock_G_C,-0.0009408502254083413,0.012990535595193954,-0.07242582251623429,0.9422630353567962
linear__h2__investment_path,linear_benchmark,,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,numerator,gi_dyn_h2,3,dlog_gi_lag1,-0.003402561098880884,0.0027317099783369728,-1.245579188809903,0.21291892654254596
linear__h2__investment_path,linear_benchmark,,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,numerator,gi_dyn_h2,4,dlog_gc_lag1,-0.005701723339562976,0.014941068940295614,-0.38161415105887103,0.7027475862153199
linear__h2__investment_path,linear_benchmark,,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,numerator,gi_dyn_h2,5,dlog_y_lag1,0.008835495474864072,0.01497357333260723,0.5900726084950904,0.5551419718977322
linear__h2__investment_path,linear_benchmark,,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,numerator,gi_dyn_h2,6,i_rate_lag1,0.057978817170408745,0.031844157913404954,1.8207049885907731,0.0686517134686484
linear__h2__investment_path,linear_benchmark,,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,denominator,gi_dyn0,1,shock_G_I,0.04112632219059709,0.0012221228155918468,33.651546036050824,0.0
