feature_set,horizon,window_start,window_end,nobs,country_n,year_min,year_max,regressor_count,rank,full_rank,condition_number,columns,missing_countries
trade,8,2004,2017,378,27,2004,2017,8,8,True,26.921438632763216,shock_G_I|shock_G_C|trade_z_lag1|shock_G_I_x_trade|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,
debt,8,2004,2017,378,27,2004,2017,8,8,True,25.974819518746465,shock_G_I|shock_G_C|debt_z_lag1|shock_G_I_x_debt|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,
liq,8,2004,2017,378,27,2004,2017,8,8,True,18.433149501910037,shock_G_I|shock_G_C|liq_z_lag1|shock_G_I_x_liq|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,
log_gdp_pc,8,2004,2017,378,27,2004,2017,8,8,True,18.207944432637365,shock_G_I|shock_G_C|log_gdp_pc_z_lag1|shock_G_I_x_log_gdp_pc|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,
trade+debt,8,2004,2017,378,27,2004,2017,10,10,True,29.364574723907864,shock_G_I|shock_G_C|trade_z_lag1|debt_z_lag1|shock_G_I_x_trade|shock_G_I_x_debt|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,
trade+liq,8,2004,2017,378,27,2004,2017,10,10,True,27.0939913671797,shock_G_I|shock_G_C|trade_z_lag1|liq_z_lag1|shock_G_I_x_trade|shock_G_I_x_liq|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,
trade+log_gdp_pc,8,2004,2017,378,27,2004,2017,10,10,True,27.63254668861284,shock_G_I|shock_G_C|trade_z_lag1|log_gdp_pc_z_lag1|shock_G_I_x_trade|shock_G_I_x_log_gdp_pc|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,
debt+liq,8,2004,2017,378,27,2004,2017,10,10,True,26.673004101787434,shock_G_I|shock_G_C|debt_z_lag1|liq_z_lag1|shock_G_I_x_debt|shock_G_I_x_liq|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,
debt+log_gdp_pc,8,2004,2017,378,27,2004,2017,10,10,True,28.54524611759692,shock_G_I|shock_G_C|debt_z_lag1|log_gdp_pc_z_lag1|shock_G_I_x_debt|shock_G_I_x_log_gdp_pc|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,
liq+log_gdp_pc,8,2004,2017,378,27,2004,2017,10,10,True,19.715901639837575,shock_G_I|shock_G_C|liq_z_lag1|log_gdp_pc_z_lag1|shock_G_I_x_liq|shock_G_I_x_log_gdp_pc|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,
trade+debt+liq,8,2004,2017,378,27,2004,2017,12,12,True,29.823564437415964,shock_G_I|shock_G_C|trade_z_lag1|debt_z_lag1|liq_z_lag1|shock_G_I_x_trade|shock_G_I_x_debt|shock_G_I_x_liq|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,
trade+debt+log_gdp_pc,8,2004,2017,378,27,2004,2017,12,12,True,31.36384043718787,shock_G_I|shock_G_C|trade_z_lag1|debt_z_lag1|log_gdp_pc_z_lag1|shock_G_I_x_trade|shock_G_I_x_debt|shock_G_I_x_log_gdp_pc|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,
trade+liq+log_gdp_pc,8,2004,2017,378,27,2004,2017,12,12,True,27.848572112909245,shock_G_I|shock_G_C|trade_z_lag1|liq_z_lag1|log_gdp_pc_z_lag1|shock_G_I_x_trade|shock_G_I_x_liq|shock_G_I_x_log_gdp_pc|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,
debt+liq+log_gdp_pc,8,2004,2017,378,27,2004,2017,12,12,True,29.142423983644612,shock_G_I|shock_G_C|debt_z_lag1|liq_z_lag1|log_gdp_pc_z_lag1|shock_G_I_x_debt|shock_G_I_x_liq|shock_G_I_x_log_gdp_pc|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,
trade+debt+liq+log_gdp_pc,8,2004,2017,378,27,2004,2017,14,14,True,31.85725038091173,shock_G_I|shock_G_C|trade_z_lag1|debt_z_lag1|liq_z_lag1|log_gdp_pc_z_lag1|shock_G_I_x_trade|shock_G_I_x_debt|shock_G_I_x_liq|shock_G_I_x_log_gdp_pc|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,
