estimation_id,feature_set,features,horizon,response_type,dep_col,scale_col,nobs,country_n,year_min,year_max,rank,regressor_count,status,beta_numerator_profile,beta_denominator_profile,var_numerator_profile,var_denominator_profile,cov_numerator_denominator_profile,denominator_t_stat,ratio,ratio_std_error,ratio_p_value,ratio_ci95_low,ratio_ci95_high
linear__h0__output,linear_benchmark,,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,0.047766468620345594,0.04109367031598943,0.00011525988209362869,1.2932890383906332e-06,2.805093222164897e-06,36.13492303758945,1.1623801975595205,0.25578726099559224,5.51118239933146e-06,0.6610463783040129,1.6637140168150282
linear__h0__investment_path,linear_benchmark,,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,583,27,2004,2025,6,6,OK,0.04109367031598943,0.04109367031598943,1.2932890383906332e-06,1.2932890383906332e-06,1.2932890383906332e-06,36.13492303758945,1.0,1.343044970493872e-18,0.0,1.0,1.0
linear__h1__output,linear_benchmark,,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,0.03856265802623402,0.04111631348948037,0.0001628473110778891,1.3055974183838677e-06,-2.786383132513168e-06,35.98400739382257,0.9378919157258663,0.3163841971967544,0.003032656887048235,0.31779028394260944,1.5579935475091231
linear__h1__investment_path,linear_benchmark,,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,557,27,2004,2024,6,6,OK,0.00022489677925345732,0.04111631348948037,1.273966945384132e-05,1.3055974183838677e-06,-1.1404514160627356e-06,35.98400739382257,0.005469770029625766,0.08685166040848517,0.9497837831417,-0.16475635636850844,0.17569589642775996
linear__h2__output,linear_benchmark,,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,0.005679249160775748,0.04112632219059709,0.00010205775641284118,1.4935841763901433e-06,-3.906997835329705e-06,33.651546036050824,0.13809280427400392,0.24697155649504612,0.5760630603420243,-0.34596255166208556,0.6221481602100934
linear__h2__investment_path,linear_benchmark,,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,-0.0067715497211814895,0.04112632219059709,4.549870216166144e-06,1.4935841763901433e-06,-6.558573138039655e-07,33.651546036050824,-0.16465245031635,0.05085558134099494,0.0012051958309753363,-0.26432755815754727,-0.06497734247515277
linear__h3__output,linear_benchmark,,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,-0.010425792102750814,0.04119063149623016,0.00013158103067421515,1.5940182501760764e-06,-9.979141894330248e-06,32.625096543667915,-0.25311076145324457,0.2731947926996596,0.3541942095305537,-0.7885627159084634,0.2823411930019742
linear__h3__investment_path,linear_benchmark,,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,-0.005023662500611646,0.04119063149623016,7.012752440599467e-06,1.5940182501760764e-06,-2.1201895190028573e-06,32.625096543667915,-0.1219612887234181,0.06198720509033468,0.04912287824989359,-0.24345397820277193,-0.0004685992440642689
linear__h4__output,linear_benchmark,,4,output_over_initial_investment,y_dyn_h4,gi_dyn0,481,27,2004,2021,6,6,OK,-0.0075641219909315435,0.04110237230853967,0.00016524933675670771,1.6170206170428028e-06,-1.1021367722383186e-05,32.322810062984274,-0.18403127523031018,0.3089439333577553,0.5513899883239906,-0.7895502578536528,0.42148770739303254
linear__h4__investment_path,linear_benchmark,,4,investment_path_over_initial_investment,gi_dyn_h4,gi_dyn0,481,27,2004,2021,6,6,OK,-0.0013285052104433297,0.04110237230853967,5.5607626850095675e-06,1.6170206170428028e-06,-2.1535937395256693e-06,32.322810062984274,-0.03232186211712436,0.056658144792119426,0.568357883772644,-0.14336978534053402,0.0787260611062853
linear__h5__output,linear_benchmark,,5,output_over_initial_investment,y_dyn_h5,gi_dyn0,456,27,2004,2020,6,6,OK,0.0012546929516758564,0.041309130297201284,1.7563761987921136e-05,1.4113513746606437e-06,6.514360537029536e-07,34.77190435340027,0.030373259922174215,0.10134190226441822,0.764397780067205,-0.1682532186408636,0.22899973848521202
linear__h5__investment_path,linear_benchmark,,5,investment_path_over_initial_investment,gi_dyn_h5,gi_dyn0,456,27,2004,2020,6,6,OK,0.00011101575441064509,0.041309130297201284,1.1098783988666445e-06,1.4113513746606437e-06,2.4403822263067015e-07,34.77190435340027,0.0026874386754679866,0.02548806488079558,0.9160273899786899,-0.04726825052651152,0.052643127877447495
linear__h6__output,linear_benchmark,,6,output_over_initial_investment,y_dyn_h6,gi_dyn0,431,27,2004,2019,6,6,OK,0.0013193412486232276,0.041438699547203944,2.0716858234189777e-05,1.3827097093680708e-06,-1.974160662347796e-06,35.24038232423212,0.031838384482127155,0.11017525936838944,0.7725971130453708,-0.18410115586727527,0.24777792483152955
linear__h6__investment_path,linear_benchmark,,6,investment_path_over_initial_investment,gi_dyn_h6,gi_dyn0,431,27,2004,2019,6,6,OK,-0.0008222061002535526,0.041438699547203944,2.9373209751159374e-06,1.3827097093680708e-06,1.1553538374236896e-06,35.24038232423212,-0.01984150345541021,0.04168429139518721,0.6340781250856304,-0.10154121331104998,0.06185820640022957
linear__h7__output,linear_benchmark,,7,output_over_initial_investment,y_dyn_h7,gi_dyn0,405,27,2004,2018,6,6,OK,0.005712355310127662,0.04182831864495292,4.554764019454889e-05,1.055457467981401e-06,4.567312053647329e-06,40.71458751146889,0.13656669680211794,0.15915807648723426,0.3908610064608926,-0.1753774009615323,0.44851079456576814
