country,nominal_gdp_mio_eur,debt_raw,gdp_pc_current_pps,gdp_pc_real_index_2020,hh_total_financial_assets_mio_eur,hh_total_financial_liabilities_mio_eur,trade_raw,debt_z,liq_raw,liq_z,log_real_ppp_gdp_pc_raw,log_gdp_pc_z,trade_profile_is_official_profile_copy,missing_nominal_gdp_mio_eur,missing_debt_raw,missing_gdp_pc_current_pps,missing_gdp_pc_real_index_2020,missing_hh_total_financial_assets_mio_eur,missing_hh_total_financial_liabilities_mio_eur,missing_trade_raw,missing_debt_z,missing_liq_raw,missing_liq_z,missing_log_real_ppp_gdp_pc_raw,missing_log_gdp_pc_z,missing_trade_profile_is_official_profile_copy
AUT,512813.0,81.5,48882.4,106.156,968605.9,218884.5,,0.5189076856934278,-1.461978147979868,-0.5418875589720368,10.588780406873688,0.9258131873115746,False,False,False,False,False,False,False,True,False,False,False,False,False,False
BEL,642015.3,107.9,47738.3,111.084,1723860.6,374016.0,,1.2459654106932094,-2.1025115756587107,-1.612570791416991,10.592229278816886,0.9348776698827451,False,False,False,False,False,False,False,True,False,False,False,False,False,False
BGR,116018.3,29.9,28341.5,124.038,135750.5,37248.5,,-0.902159685897054,-0.8490212319952972,0.48270017337173726,9.983829895622183,-0.6641453428901435,False,False,False,False,False,False,False,True,False,False,False,False,False,False
HRV,92975.1,56.3,32449.1,135.507,118751.0,31356.5,,-0.17510196089727265,-0.9399774778408412,0.33066232006895385,10.217978879069893,-0.04874430322398996,False,False,False,False,False,False,False,True,False,False,False,False,False,False
CYP,36483.5,55.0,40874.5,124.226,65061.6,24974.0,,-0.21090404584044364,-1.0987871229459893,0.0652041615762954,10.427691295629424,0.5024314366034605,False,False,False,False,False,False,False,True,False,False,False,False,False,False
CZE,346583.4,44.3,38452.9,107.176,527386.3,118174.8,,-0.5055827449880824,-1.1807013838516214,-0.07171956770915802,10.350479291074345,0.2994993239875847,False,False,False,False,False,False,False,True,False,False,False,False,False,False
DNK,410372.0,27.9,52921.6,111.226,1534105.8,365172.5,,-0.9572398165788556,-2.8484723616621017,-2.8594810557720676,10.704387790581748,1.2296577869312517,False,False,False,False,False,False,False,True,False,False,False,False,False,False
EST,41620.8,24.1,32941.9,101.371,61811.8,18467.6,,-1.0618920648742787,-1.0414071810248722,0.16111756599647617,10.179260971333987,-0.15050447456249097,False,False,False,False,False,False,False,True,False,False,False,False,False,False
FIN,280570.0,88.5,42034.5,100.628,466533.0,207968.0,,0.7116881430797335,-0.9215703745945754,0.3614307014711207,10.44154900793348,0.5388529082397646,False,False,False,False,False,False,False,True,False,False,False,False,False,False
FRA,2979085.1,115.6,40702.7,111.827,7308824.0,2114002.0,,1.4580239138181454,-1.7437642180815849,-1.012906880302036,10.472631954691986,0.6205465268470987,False,False,False,False,False,False,False,True,False,False,False,False,False,False
