feature_set,response_type,horizons,coefficient_p_values_above_0_10,ratio_p_values_above_0_10,min_observations,max_observations,countries,first_year,last_year
debt,investment_path_over_initial_investment,9,5,5,378,583,27,2004,2025
debt,output_over_initial_investment,9,7,7,378,583,27,2004,2025
debt+liq,investment_path_over_initial_investment,9,5,5,378,583,27,2004,2025
debt+liq,output_over_initial_investment,9,6,6,378,583,27,2004,2025
debt+liq+log_gdp_pc,investment_path_over_initial_investment,9,6,6,378,583,27,2004,2025
debt+liq+log_gdp_pc,output_over_initial_investment,9,6,6,378,583,27,2004,2025
debt+log_gdp_pc,investment_path_over_initial_investment,9,6,6,378,583,27,2004,2025
debt+log_gdp_pc,output_over_initial_investment,9,8,8,378,583,27,2004,2025
linear_benchmark,investment_path_over_initial_investment,9,5,6,378,583,27,2004,2025
linear_benchmark,output_over_initial_investment,9,6,6,378,583,27,2004,2025
liq,investment_path_over_initial_investment,9,6,6,378,583,27,2004,2025
liq,output_over_initial_investment,9,6,6,378,583,27,2004,2025
liq+log_gdp_pc,investment_path_over_initial_investment,9,6,6,378,583,27,2004,2025
liq+log_gdp_pc,output_over_initial_investment,9,5,5,378,583,27,2004,2025
log_gdp_pc,investment_path_over_initial_investment,9,6,6,378,583,27,2004,2025
log_gdp_pc,output_over_initial_investment,9,8,8,378,583,27,2004,2025
trade,investment_path_over_initial_investment,9,5,5,378,531,27,2004,2023
trade,output_over_initial_investment,9,4,4,378,531,27,2004,2023
trade+debt,investment_path_over_initial_investment,9,5,5,378,531,27,2004,2023
trade+debt,output_over_initial_investment,9,3,3,378,531,27,2004,2023
trade+debt+liq,investment_path_over_initial_investment,9,5,5,378,531,27,2004,2023
trade+debt+liq,output_over_initial_investment,9,3,3,378,531,27,2004,2023
trade+debt+liq+log_gdp_pc,investment_path_over_initial_investment,9,5,5,378,531,27,2004,2023
trade+debt+liq+log_gdp_pc,output_over_initial_investment,9,5,5,378,531,27,2004,2023
trade+debt+log_gdp_pc,investment_path_over_initial_investment,9,5,5,378,531,27,2004,2023
trade+debt+log_gdp_pc,output_over_initial_investment,9,5,5,378,531,27,2004,2023
trade+liq,investment_path_over_initial_investment,9,5,5,378,531,27,2004,2023
trade+liq,output_over_initial_investment,9,4,4,378,531,27,2004,2023
trade+liq+log_gdp_pc,investment_path_over_initial_investment,9,6,6,378,531,27,2004,2023
trade+liq+log_gdp_pc,output_over_initial_investment,9,5,5,378,531,27,2004,2023
trade+log_gdp_pc,investment_path_over_initial_investment,9,5,5,378,531,27,2004,2023
trade+log_gdp_pc,output_over_initial_investment,9,5,5,378,531,27,2004,2023
