path,horizon,incremental_y,K_Y_cumulative,incremental_g,K_G_cumulative,K_Y_over_K_G,nobs,country_n,year_min,year_max
linear_benchmark,0,1.1623801975595205,1.1623801975595205,1.0,1.0,1.1623801975595205,583,27,2004,2025
linear_benchmark,1,0.9378919157258663,2.1002721132853868,0.005469770029625766,1.0054697700296258,2.0888466027412274,557,27,2004,2024
linear_benchmark,2,0.13809280427400392,2.2383649175593905,-0.16465245031635,0.8408173197132758,2.6621298884788525,531,27,2004,2023
linear_benchmark,3,-0.25311076145324457,1.985254156106146,-0.1219612887234181,0.7188560309898576,2.7616853313068415,506,27,2004,2022
linear_benchmark,4,-0.18403127523031018,1.801222880875836,-0.03232186211712436,0.6865341688727333,2.623646371211771,481,27,2004,2021
linear_benchmark,5,0.030373259922174215,1.8315961407980101,0.0026874386754679866,0.6892216075482013,2.657485082793078,456,27,2004,2020
linear_benchmark,6,0.031838384482127155,1.8634345252801372,-0.01984150345541021,0.669380104092791,2.7838212009686853,431,27,2004,2019
linear_benchmark,7,0.13656669680211794,2.0000012220822554,0.0400844702776226,0.7094645743704137,2.819029017561698,405,27,2004,2018
linear_benchmark,8,0.22543152994263657,2.2254327520248918,0.06659222249866187,0.7760567968690756,2.867615825289051,378,27,2004,2017
trade,0,1.3791126873307011,1.3791126873307011,1.0,1.0,1.3791126873307011,531,27,2004,2023
trade,1,0.9094254251918167,2.288538112522518,0.013505790455234357,1.0135057904552343,2.258041477488333,531,27,2004,2023
trade,2,-0.02126452500724702,2.267273587515271,-0.17636857461341635,0.837137215841818,2.708365539853965,531,27,2004,2023
trade,3,-0.44048859970958143,1.8267849878056894,-0.13712970196246474,0.7000075138793533,2.609664827284321,506,27,2004,2022
trade,4,-0.3525152428826991,1.4742697449229902,-0.06050362985965116,0.6395038840197022,2.3053335276968703,481,27,2004,2021
trade,5,-0.19566610432952722,1.278603640593463,-0.005641825029505209,0.6338620589901969,2.0171638646906893,456,27,2004,2020
