feature_set,scenario,scenario_sign,year,horizon_from_2028,fiscal_action_cut_units_pp,Y_shortfall_pct,direct_discretionary_PB_level_pp,direct_DY_LP_margin_initial_action_pp
debt,three_1pp_cut_2028_2030,cut,2028,0,1.0,1.1338257952708586,1.0,1.2783804036456303
debt,three_1pp_cut_2028_2030,cut,2029,1,1.0,3.110017884756916,2.0050366966301167,3.2756795096402165
debt,three_1pp_cut_2028_2030,cut,2030,2,1.0,5.1354571105075975,2.832475354177065,4.8769581319125415
debt,three_1pp_cut_2028_2030,cut,2031,3,0.0,5.688814970829375,2.5271555457240664,4.654942803779614
debt,three_1pp_cut_2028_2030,cut,2032,4,0.0,5.159652583031617,2.1768090342320066,3.1218006525104602
debt,three_1pp_cut_2028_2030,cut,2033,5,0.0,4.59707787983981,2.0102580935002745,1.564766975770894
debt,three_1pp_cut_2028_2030,cut,2034,6,0.0,4.390826753442765,1.970369375327082,0.9560642377799633
debt,three_1pp_cut_2028_2030,cut,2035,7,0.0,4.527980646140104,2.004962862338648,1.3945914549123453
debt,three_1pp_cut_2028_2030,cut,2036,8,0.0,4.846459640431504,2.096736784698299,2.681393498857442
debt,three_1pp_expansion_2028_2030,expansion,2028,0,-1.0,-1.1338257952708586,-1.0,-1.2783804036456303
debt,three_1pp_expansion_2028_2030,expansion,2029,1,-1.0,-3.110017884756916,-2.0050366966301167,-3.2756795096402165
debt,three_1pp_expansion_2028_2030,expansion,2030,2,-1.0,-5.1354571105075975,-2.832475354177065,-4.8769581319125415
debt,three_1pp_expansion_2028_2030,expansion,2031,3,-0.0,-5.688814970829375,-2.5271555457240664,-4.654942803779614
debt,three_1pp_expansion_2028_2030,expansion,2032,4,-0.0,-5.159652583031617,-2.1768090342320066,-3.1218006525104602
debt,three_1pp_expansion_2028_2030,expansion,2033,5,-0.0,-4.59707787983981,-2.0102580935002745,-1.564766975770894
debt,three_1pp_expansion_2028_2030,expansion,2034,6,-0.0,-4.390826753442765,-1.970369375327082,-0.9560642377799633
debt,three_1pp_expansion_2028_2030,expansion,2035,7,-0.0,-4.527980646140104,-2.004962862338648,-1.3945914549123453
debt,three_1pp_expansion_2028_2030,expansion,2036,8,-0.0,-4.846459640431504,-2.096736784698299,-2.681393498857442
debt+liq,three_1pp_cut_2028_2030,cut,2028,0,1.0,1.153338614828712,1.0,1.324135005129135
debt+liq,three_1pp_cut_2028_2030,cut,2029,1,1.0,3.2989682926320443,2.027728027515783,3.418167785445924
debt+liq,three_1pp_cut_2028_2030,cut,2030,2,1.0,5.4824182524875305,2.8610491607497996,5.065667878617836
debt+liq,three_1pp_cut_2028_2030,cut,2031,3,0.0,6.039922254506816,2.557458784089156,4.83419851067309
debt+liq,three_1pp_cut_2028_2030,cut,2032,4,0.0,5.301748416557249,2.1946455053117075,3.1458639851755392
debt+liq,three_1pp_cut_2028_2030,cut,2033,5,0.0,4.550862959107251,2.0286048665492564,1.3996755878208769
debt+liq,three_1pp_cut_2028_2030,cut,2034,6,0.0,4.26391504036542,1.9900567719066262,0.5209107556277682
debt+liq,three_1pp_cut_2028_2030,cut,2035,7,0.0,4.405912308852683,2.0147392845119403,0.7891582969562159
debt+liq,three_1pp_cut_2028_2030,cut,2036,8,0.0,4.781999827917998,2.090896707117337,2.093231409051185
debt+liq,three_1pp_expansion_2028_2030,expansion,2028,0,-1.0,-1.153338614828712,-1.0,-1.324135005129135
debt+liq,three_1pp_expansion_2028_2030,expansion,2029,1,-1.0,-3.2989682926320443,-2.027728027515783,-3.418167785445924
debt+liq,three_1pp_expansion_2028_2030,expansion,2030,2,-1.0,-5.4824182524875305,-2.8610491607497996,-5.065667878617836
debt+liq,three_1pp_expansion_2028_2030,expansion,2031,3,-0.0,-6.039922254506816,-2.557458784089156,-4.83419851067309
debt+liq,three_1pp_expansion_2028_2030,expansion,2032,4,-0.0,-5.301748416557249,-2.1946455053117075,-3.1458639851755392
debt+liq,three_1pp_expansion_2028_2030,expansion,2033,5,-0.0,-4.550862959107251,-2.0286048665492564,-1.3996755878208769
debt+liq,three_1pp_expansion_2028_2030,expansion,2034,6,-0.0,-4.26391504036542,-1.9900567719066262,-0.5209107556277682
debt+liq,three_1pp_expansion_2028_2030,expansion,2035,7,-0.0,-4.405912308852683,-2.0147392845119403,-0.7891582969562159
debt+liq,three_1pp_expansion_2028_2030,expansion,2036,8,-0.0,-4.781999827917998,-2.090896707117337,-2.093231409051185
debt+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2028,0,1.0,1.0812697018853745,1.0,1.7267954784154713
debt+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2029,1,1.0,3.0014673746076346,1.9302818478872985,4.606752673187746
debt+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2030,2,1.0,4.761527516780799,2.6711893043057273,6.903960818118449
debt+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2031,3,0.0,4.783189381428495,2.3170393063119654,6.339158557959773
debt+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2032,4,0.0,3.837123911066805,1.9832191784113435,4.166341663990536
debt+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2033,5,0.0,3.0285235483472484,1.8349106898670922,1.4741204609410516
debt+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2034,6,0.0,2.4925873309925217,1.7962612350606144,0.19645635324884192
debt+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2035,7,0.0,2.085776733369793,1.8276097060403216,-0.2575596254768238
debt+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2036,8,0.0,1.9217201888212945,1.991654633673162,0.5844040405718636
debt+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2028,0,-1.0,-1.0812697018853745,-1.0,-1.7267954784154713
debt+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2029,1,-1.0,-3.0014673746076346,-1.9302818478872985,-4.606752673187746
debt+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2030,2,-1.0,-4.761527516780799,-2.6711893043057273,-6.903960818118449
debt+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2031,3,-0.0,-4.783189381428495,-2.3170393063119654,-6.339158557959773
debt+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2032,4,-0.0,-3.837123911066805,-1.9832191784113435,-4.166341663990536
debt+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2033,5,-0.0,-3.0285235483472484,-1.8349106898670922,-1.4741204609410516
debt+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2034,6,-0.0,-2.4925873309925217,-1.7962612350606144,-0.19645635324884192
debt+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2035,7,-0.0,-2.085776733369793,-1.8276097060403216,0.2575596254768238
debt+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2036,8,-0.0,-1.9217201888212945,-1.991654633673162,-0.5844040405718636
debt+log_gdp_pc,three_1pp_cut_2028_2030,cut,2028,0,1.0,1.065135280462242,1.0,1.583170308210779
