feature_set,features,horizon,response_type,dep_col,scale_col,nobs,country_n,year_min,year_max,rank,regressor_count,profile_country,profile_year,status,profile_z_values,beta_dep,se_beta_dep,p_beta_dep,beta_scale,se_beta_scale,p_beta_scale,denom_t,ratio,se_ratio,p_ratio,cumulative_ratio,cumulative_label
debt,debt,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,583,27,2004,2025,8,8,POL,2025,OK,"{""debt"": -0.08146573873820974}",0.0416962412728988,0.000776798980266153,0.0,0.0416962412728988,0.000776798980266153,0.0,53.67700310138475,1.0,0.0,,1.0,K_G_cumulative
debt,debt,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,557,27,2004,2024,8,8,POL,2025,OK,"{""debt"": -0.08146573873820974}",0.0002101493367512937,0.0036998584116664343,0.9547050782612587,0.04172364392461499,0.0007785082592419323,0.0,53.59434974427007,0.00503669663011661,0.0887094418402447,0.9547224706789332,1.0050366966301165,K_G_cumulative
debt,debt,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,POL,2025,OK,"{""debt"": -0.08146573873820974}",-0.007410339899380115,0.0022647557754354717,0.001067797361041567,0.04172534751867339,0.0007549677955499829,0.0,55.26771839092433,-0.1775980390831678,0.05365343868271662,0.0009326393898121399,0.8274386575469488,K_G_cumulative
debt,debt,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,8,8,POL,2025,OK,"{""debt"": -0.08146573873820974}",-0.005547025676655415,0.002795338625537617,0.047213031035145514,0.04178283949633467,0.000766117068060889,0.0,54.538452722494206,-0.13275846599994764,0.06569179340393058,0.043287090721415344,0.6946801915470011,K_G_cumulative
debt,debt,4,investment_path_over_initial_investment,gi_dyn_h4,gi_dyn0,481,27,2004,2021,8,8,POL,2025,OK,"{""debt"": -0.08146573873820974}",-0.00166697868576576,0.0024185768060876966,0.4906725588731635,0.04168488168566309,0.000729121243001975,0.0,57.17139925046756,-0.0399900064089445,0.05762526963667281,0.48770322081735196,0.6546901851380567,K_G_cumulative
debt,debt,5,investment_path_over_initial_investment,gi_dyn_h5,gi_dyn0,456,27,2004,2020,8,8,POL,2025,OK,"{""debt"": -0.08146573873820974}",0.0002588049167579316,0.0008830060686644864,0.7694493194097456,0.04175935360068001,0.000654232666337061,0.0,63.82951471146134,0.006197531677159802,0.02114572845855125,0.7694558859507148,0.6608877168152165,K_G_cumulative
debt,debt,6,investment_path_over_initial_investment,gi_dyn_h6,gi_dyn0,431,27,2004,2019,8,8,POL,2025,OK,"{""debt"": -0.08146573873820974}",-0.00025538997979338685,0.0014040824163748685,0.8556682536696607,0.041893008743496926,0.0006148114679111191,0.0,68.13960202439365,-0.0060962434414078975,0.0335552674076073,0.8558356760460839,0.6547914733738086,K_G_cumulative
debt,debt,7,investment_path_over_initial_investment,gi_dyn_h7,gi_dyn0,405,27,2004,2018,8,8,POL,2025,OK,"{""debt"": -0.08146573873820974}",0.001452061680963431,0.0019967916152765766,0.46710503566175277,0.042098263737874855,0.0005022600876672739,0.0,83.81765697011382,0.03449219877581421,0.04719959909248713,0.46491773838450356,0.6892836721496228,K_G_cumulative
debt,debt,8,investment_path_over_initial_investment,gi_dyn_h8,gi_dyn0,378,27,2004,2017,8,8,POL,2025,OK,"{""debt"": -0.08146573873820974}",0.002679950775995265,0.0013516835457440509,0.04740361137194271,0.04228521206632859,0.0004308298695771946,0.0,98.14828323724679,0.063377967025245,0.03185941721172584,0.04666800147446937,0.7526616391748677,K_G_cumulative
debt,debt,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,583,27,2004,2025,8,8,POL,2025,OK,"{""debt"": -0.08146573873820974}",0.047276273921050084,0.0106032464611808,8.247351129142544e-06,0.0416962412728988,0.000776798980266153,0.0,53.67700310138475,1.1338257952708586,0.2512046238499703,6.3750016012775745e-06,1.1338257952708586,K_Y_cumulative
debt,debt,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,557,27,2004,2024,8,8,POL,2025,OK,"{""debt"": -0.08146573873820974}",0.03514659131393243,0.012048097961975002,0.0035320050888054677,0.04172364392461499,0.0007785082592419323,0.0,53.59434974427007,0.842366294215199,0.29011373259049067,0.003689313843367792,1.9761920894860576,K_Y_cumulative
debt,debt,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,POL,2025,OK,"{""debt"": -0.08146573873820974}",0.0020548538749408565,0.008732144444300673,0.8139598715110921,0.04172534751867339,0.0007549677955499829,0.0,55.26771839092433,0.04924713626462297,0.20943319666577215,0.81409631417886,2.025439225750681,K_Y_cumulative
debt,debt,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,8,8,POL,2025,OK,"{""debt"": -0.08146573873820974}",-0.014133278196654732,0.012673612740111313,0.2647760418057872,0.04178283949633467,0.000766117068060889,0.0,54.538452722494206,-0.3382555701580442,0.29994238955928726,0.25943179604236377,1.6871836555926363,K_Y_cumulative
debt,debt,4,output_over_initial_investment,y_dyn_h4,gi_dyn0,481,27,2004,2021,8,8,POL,2025,OK,"{""debt"": -0.08146573873820974}",-0.010010789154846468,0.014047442460877874,0.4760676824821015,0.04168488168566309,0.000729121243001975,0.0,57.17139925046756,-0.24015395390433683,0.33471521717270863,0.4730734027382857,1.4470297016882996,K_Y_cumulative
debt,debt,5,output_over_initial_investment,y_dyn_h5,gi_dyn0,456,27,2004,2020,8,8,POL,2025,OK,"{""debt"": -0.08146573873820974}",0.0006612518839377822,0.005189205024151251,0.8986013714708871,0.04175935360068001,0.000654232666337061,0.0,63.82951471146134,0.015834820870575313,0.12424084474229696,0.8985821729667247,1.4628645225588748,K_Y_cumulative
debt,debt,6,output_over_initial_investment,y_dyn_h6,gi_dyn0,431,27,2004,2019,8,8,POL,2025,OK,"{""debt"": -0.08146573873820974}",0.0007569231600094608,0.0031213614281891382,0.8083944909603125,0.041893008743496926,0.0006148114679111191,0.0,68.13960202439365,0.018068006636714973,0.07444901965146555,0.8082458247061932,1.48093252919559,K_Y_cumulative
debt,debt,7,output_over_initial_investment,y_dyn_h7,gi_dyn0,405,27,2004,2018,8,8,POL,2025,OK,"{""debt"": -0.08146573873820974}",0.0043466905735872075,0.008683855667186243,0.6166889435271219,0.042098263737874855,0.0005022600876672739,0.0,83.81765697011382,0.10325106519004935,0.20544999777941841,0.6152732668474838,1.5841835943856393,K_Y_cumulative
debt,debt,8,output_over_initial_investment,y_dyn_h8,gi_dyn0,378,27,2004,2017,8,8,POL,2025,OK,"{""debt"": -0.08146573873820974}",0.008336949132398002,0.005906600428475548,0.15810807959306006,0.04228521206632859,0.0004308298695771946,0.0,98.14828323724679,0.1971599224646352,0.13810647059183453,0.15340884818084222,1.7813435168502745,K_Y_cumulative
debt+liq,debt|liq,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,583,27,2004,2025,10,10,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922}",0.04246502921237618,0.0008242180929455989,0.0,0.04246502921237618,0.0008242180929455989,0.0,51.52159310239628,1.0,0.0,,1.0,K_G_cumulative
debt+liq,debt|liq,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,557,27,2004,2024,10,10,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922}",0.0011781297498627257,0.0033600849586785165,0.7258697072026257,0.04248876878069052,0.0008293898791066576,0.0,51.228945338054416,0.027728027515782933,0.0793621830102182,0.72679961943826,1.027728027515783,K_G_cumulative
debt+liq,debt|liq,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,10,10,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922}",-0.008259276106549161,0.0021516196575471764,0.0001237216879339531,0.042484481515241215,0.0008045464078529405,0.0,52.805507675583044,-0.1944068942817665,0.04944340872383515,8.42746029463548e-05,0.8333211332340165,K_G_cumulative
